ps,sd,ps2,sd2,osize,oaflas,ohsn,csfa,cpl,css,cslw,rfa,ms,mlw,sw,trq
338 (FS) ,0.62,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,101329250,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.62,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,101329250,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.62,387 Adapter to AGH ,0.68,"2-227 
2-228 ","1042555 
1042563 ","996082 
826263 ","89268 (8) 
89268 (8) ","306985 (8) 
306985 (8) ","846162 (8) 
846162 (8) ","310078 (8) 
310078 (8) ","DNE
","846162 (8)
846162 (8) ","310078 (8) 
310078 (8)","1/2 
1/2 ","12
12"
338 (FS) ,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,DNE ,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,102894829,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338 Ext Sft (FS) ,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338 Ext Sft ,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.68,387 Adapter to AGH,0.68,"2-227 
2-228 ","1042555 
1042563 ","996082 
826263 ",1328913,100295216,"89268 (8) 
89268 (8) ","306985 (8) 
306985 (8) ","DNE
","846162 (8) 
846162 (8) ","310078 (8) 
310078 (8) ","1/2 
1/2 ","12
12"
387,0.62,387 AGH ,0.68,2-228 ,1042563,826263,N/A ,"232942
100571095 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387 (FS) ,0.62,387 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A ,DNE ,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387,0.62,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.62,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.62,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.68,387 AGH ,0.68,2-228 ,1042563,826263,N/A ,"155259
100570039 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387 (FS) ,0.68,387 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387,0.68,387 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387 (FS) ,0.68,387 AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387,0.68,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,"2005972
100571596 (HS) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.68,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.68,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,100571596 (HS) 2005972 ,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,"387 Ext Hd (FS)
MGH ",0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,2000184,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,"100254539
101695836 (INC-625) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft ,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft (FS) ,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft ,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft (FS) ,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,2000184,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,"387 Ext Hd (FS)
MGH ",0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.87,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft (FS) ,0.87,387 Ext Hd MGH ,0.87,2-228 ,1042563,826263,N/A ,"100571889 (HS) 100134735
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.62,400 AGH ,0.68,2-228 ,1042563,826263,N/A ,"232942
100571095 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.62,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A ,"100570605
100571617 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.62,400 AGH ,0.68,2-228 ,1042563,826263,N/A,"100570605
100571617 (HS)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.62,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100570605
100571617 (HS)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.62,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.62,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.62,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.62,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,"2007598
100571904 (HS) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.62,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,100571904 (HS) 2007598 ,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.68,400 AGH ,0.68,2-228 ,1042563,826263,N/A ,"155259
100570039 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.68,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.68,400 AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.68,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.68,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,"2005972
100571596 (HS) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.68,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.68,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.68,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.68,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,100571596 (HS) 2005972 ,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.68,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,100571596 (HS) 2005972 ,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.68,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.68,400 Ext Hd (FS) MGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.68,400 Ext Hd (FS) MGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.87,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,2000184,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.87,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,"100254539
101695836 (INC-625) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.87,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.87,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.87,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft ,0.87,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft (FS) ,0.87,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft (FS) ,0.87,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft ,0.87,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,"100134735
100571889 (HS) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.87,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,2000184,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 Ext Sft ,0.87,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.87,540 AGH ,1,"2-228 
2-237 ","1042563 
1042605 ","826263 
812776 ",265892,100253234,"89268 (8) 
68973 (11) ","306985 (8) 
307223 (11) ",1135144,"846162 (8) 
118190 (11) ","310078 (8) 
310086 (11) ","1/2 
5/8 ","12
26"
538/540 ,0.87,540 AGH ,1,2-237 ,1042605,812776,N/A ,208538,68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,0.87,540 AGH (FS) ,1,2-237 ,1042605,812776,N/A ,100730109,68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,0.87,540 AGH ,1,1-237 ,1042605,812776,N/A ,"101700731 (INC-718) +
shims ",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 ,0.87,"538/540
MGH ",1,2-237 ,1042605,812776,N/A ,208538,68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 ,0.87,538/540 MGH (FS) ,1,2-237 ,1042605,812776,N/A ,"101700731 (INC-718) +
shims ",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 ,1,538/540 AGH ,1,2-237 ,1042605,812776,N/A ,"155192
100570719 (HS) ",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1,538/540 (FS) AGH ,1,2-237 ,1042605,812776,N/A ,"100135005
100910412 (INC-625) ",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 ,1,538/540 (FS) AGH ,1,2-237 ,1042605,812776,N/A,"100135005
100910412 (INC-625)
+ shims",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1,538/540 AGH ,1,2-237 ,1042605,812776,N/A,"100135005
100910412 (INC-625)
+ shims",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1.18,538/540 AGH ,1,2-237 ,1042605,812776,N/A,"100134021
100910760 (INC-718)
+ shims",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 ,1,"538/540
MGH ",1,2-237 ,1042605,812776,N/A ,100570719 (HS) 155192 ,68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1,"538/540
MGH (FS) ",1,2-237 ,1042605,812776,N/A ,100910412 (HS) 100135005 ,68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1,"538/540
MGH ",1,2-237 ,1042605,812776,N/A,"100135005
100910412 (HS)
+ shims",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 ,1,"538/540
MGH (FS) ",1,2-237 ,1042605,812776,N/A,"100135005
100910412 (HS)
+ shims",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1.18,"538/540
MGH ",1,2-237 ,1042605,812776,N/A,"100134021
100910760 (INC-718)
+ shims",68973 (11) ,307223 (11) ,N/A ,118190 (11) ,310086 (11) ,5/8 Allen,26
538/540 (FS) ,1.18,538/540 MGH,1,"
2-237
","
1042605
","
812776
","
N/A
","100134021
100910760 (INC-718)
+ shims","
68973 (11)
","
307223 (11)
","
N/A
","
118190 (11)
","
310086 (11)
","
44778
","
26
"
540,0.87,400 Adapter to AGH,0.68,"2-237
2-228","1042605
1042563","812776
826263","902205
","1268481
","68973 (11)
89268 (8)","307223 (11)
306985 (8)","1268473
","118190 (11)
846162 (8)","310086 (11)
310078 (8)","44778
44593","26
12"
540,0.87,400 Ext Hd Adapter to AGH,0.87,"2-237
2-228","1042605
1042563","812776
826263","
902205","1151398
2000184","68973 (11)
72827 (8)","307223 (11)
307041 (8)","
1268473","118190 (11)
2004142 (8)","310086 (11)
309146 (8)","44778
1/4 Allen","26
12"
538/540 ,0.87,400 Ext Hd Adapter to AGH,0.87,"2-237
2-228","1042605
1042563","812776
826263","
902205","1151398
2000184","68973 (11)
72827 (8)","307223 (11)
307041 (8)","
1268473","118190 (11)
2004142 (8)","310086 (11)
309146 (8)","44778
1/4 Allen","26
12"
540,1,400 Ext Hd Adapter to AGH,0.87,"2-237
2-228","1042605
1042563","812776
826263","902205
","DNE
","68973 (11)
72827 (8)","307223 (11)
307041 (8)","1268473
","118190 (11)
2004142 (8)","310086 (11)
309146 (8)","44778
1/4 Allen","26
12"
538/540 ,1,400 Ext Hd Adapter toAGH,0.87,"2-237
2-228","1042605
1042563","812776
826263","902205
","DNE
","68973 (11)
72827 (8)","307223 (11)
307041 (8)","1268473
","118190 (11)
2004142 (8)","310086 (11)
309146 (8)","44778
1/4 Allen","26
12"
538/540 (FS) ,1,400 Ext Hd Adapter to MGH,0.87,"2-237
2-228","1042605
1042563","812776
826263","902205
","100831171
+ shims","68973 (11)
72827 (8)","307223 (11)
307041 (8)","1268473
","118190 (11)
2004142 (8)","310086 (11)
309146 (8)","44778
1/4 Allen","26
12"
540,1,540 AGH,1,"2-237
","1042605
","812776
","N/A
","155192
100570719 (HS)","68973 (11)
","307223 (11)
","N/A
","118190 (11)
","310086 (11)
","44778
","26
"
540 (FS) ,1,540 (FS) AGH,1,"2-237
","1042605
","812776
","N/A
","100135005
100910412 (INC-625)","68973 (11)
","307223 (11)
","N/A
","118190 (11)
","310086 (11)
","44778
","26
"
540,1,540 (FS) AGH,1,"
2-237
","
1042605
","
812776
","
N/A
","100135005
100910412 (INC-625)
+ shims","
68973 (11)
","
307223 (11)
","
N/A
","
118190 (11)
","
310086 (11)
","
44778
","
26
"
540 (FS) ,1,540 AGH,1,"
2-237
","
1042605
","
812776
","
N/A
","100135005
100910412 (INC-625)
+ shims","
68973 (11)
","
307223 (11)
","
N/A
","
118190 (11)
","
310086 (11)
","
44778
","
26
"
540,1.18,540 AGH,1,"
2-237
","
1042605
","
812776
","
N/A
","284729
100567621 (INC-625)
100752172 (INC-718)","
68973 (11)
","
307223 (11)
","
N/A
","
118190 (11)
","
310086 (11)
","
44778
","
26
"
540,1.18,675 AGH,1.18,"2-237
2-246","1042605
1042639","812776
996108","101469138
","101469940
","68973 (11)
266932 (14)","307223 (11)
307009 (14)","N/A
","118190 (11)
267427 (14)","310086 (11)
310151 (14)","44778
44654","26
43"
562,1,562/540 Mod Sft AGH,1.18,"
2-241
","
1072511
","
997635
","
N/A
","284729
100567621 (INC-625)
100752172 (INC-718)","
68973 (12)
","
307223 (12)
","
N/A
","
118190 (12)
","
310086 (12)
","
44778
","
26
"
562,1,562/540 (FS) AGH,1.18,2-241,1072511,997635,N/A,DNE,68973 (12),307223 (12),N/A,118190 (12),310086 (12),44778,26
562 (FS) ,1,562/540 AGH,1.18,"
2-241
","
1072511
","
997635
","
N/A
","100134021
100910760 (INC-718)
+ shims","
68973 (12)
","
307223 (12)
","
N/A
","
118190 (12)
","
310086 (12)
","
44778
","
26
"
562 (FS) ,1,562/540 Mod Sft AGH,1.18,"
2-241
","
1072511
","
997635
","
N/A
","100134021
100910760 (INC-718)
+ shims","
68973 (12)
","
307223 (12)
","
N/A
","
118190 (12)
","
310086 (12)
","
44778
","
26
"
562 (FS) ,1,562/540 (FS) AGH,1.18,"2-241
","1072511
","997635
","N/A
","100134021
100910760 (INC-718)","68973 (12)
","307223 (12)
","N/A
","118190 (12)
","310086 (12)
","44778
","26
"
562,1,675/562/540 AGH,1.18,"2-241
2-246","1072511
1042639","997635
996108","2015098
","2015102
","68973 (12)
266932 (14)","307223 (12)
307009 (14)","DNE
","118190 (12)
267427 (14)","310086 (12)
310151 (14)","44778
44654","26
43"
562,1.18,562/ 540 AGH,1.18,"
2-241
","
1072511
","
997635
","
N/A
","230300
100567614 (INC-625)
100752173 (INC-718)","
68973 (12)
","
307223 (12)
","
N/A
","
118190 (12)
","
310086 (12)
","
44778
","
26
"
562 (FS) ,1.18,562/540 (FS) AGH,1.18,"
2-241
","
1072511
","
997635
","
N/A
","100191221
100781528 (INC-625)
101049017 (INC-718)","
68973 (12)
","
307223 (12)
","
N/A
","
118190 (12)
","
310086 (12)
","
44778
","
26
"
562,"1.18
",562/540 (FS) AGH,1.18,"
2-241

","
1072511

","
997635

","
N/A

","100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims","
68973 (12)

","
307223 (12)

","
N/A

","
118190 (12)

","
310086 (12)

","
44778

","
26

"
562 (FS) ,"1.18
",562/540 AGH,1.18,"
2-241

","
1072511

","
997635

","
N/A

","100191221
100781528 (INC-625)
101049017 (INC-718)
+ Shims","
68973 (12)

","
307223 (12)

","
N/A

","
118190 (12)

","
310086 (12)

","
44778

","
26

"
675,1.18,538 adapter to AGH,1,"2-246
2-237","1042639
1042605","996108
812776","2000965
","100159843
","266932 (14)
68973 (11)","307009 (14)
307223 (11)","100552909
","267427 (14)
118190 (11)","310151 (14)
310086 (11)","44654
44778","43
26"
675,1.18,562/540 adapter to AGH,1.18,"2-246
2-241","1042639
1072511","996108
997635","2009977
","2010140
","266932 (14)
2010264 (12)","307009 (14)
2010265 (12)","2009985
","267427 (14)
2010263 (12)","310151 (14)
1073865 (12)","44654
44778","43
26"
675,1.18,675/562/540 AGH,1.18,"
2-246
","
1042639
","
996108
","
N/A
","207480
100571052 (INC-625)
100752609 (INC-718)","
266932 (14)
","
307009 (14)
","
N/A
","
267427 (14)
","
310151 (14)
","
44654
","
43
"
675 (FS) ,1.18,675/562/540 AGH,1.18,"
2-246
","
1042639
","
996108
","
N/A
","100191221
100781528 (INC-625)
101049017 (INC-718)","
266932 (14)
","
307009 (14)
","
N/A
","
267427 (14)
","
310151 (14)
","
44654
","
43
"
725,1.18,562/540 adapter to AGH,1.18,"2-254
2-241
","100004879
1072511
","7003866
997635
","
2009983
","207480
100571052 (INC-625)
100752609 (INC-718)","7010937 (14)
2010264 (12)
","311209 (14)
2010265 (12)
","
2009984
","2003951 (14)
2010263 (12)
","2003950 (14)
1073865 (12)
","44654
44778
","43
26
"
725,1.18,725/562/ANY AGH,1.18,"
2-254
","
100004879
","
7003866
","
N/A
","207480
100571052 (INC-625)
100752609 (INC-718)","
7010937 (14)
","
311209 (14)
","
N/A
","
2003951 (14)
","
2003950 (14)
","
44654
","
43
"
862,1.37,562/540 adapter to AGH,1.18,"2-259
2-241","1072362
1072511","997650
997635","2009989
","1290774
","266932 (14)
2010264 (12)","307009 (14)
2010265 (12)","2009990
","267427 (14)
2010263 (12)","310151 (14)
1073865 (12)","44654
44778","43
26"
862,1.37,862/562/ANY AGH,1.18,2-259,1072362,997650,N/A,270447,266932 (14),307009 (14),N/A,267427 (14),310151 (14),44654,43
862,1.37,"862/738
MGH",1.37,"
2-259
","
1072362
","
997650
","
N/A
","1033802
100219785 (SS)
100570050 (INC-625)","
266932 (14)
","
307009 (14)
","
N/A
","
267427 (14)
","
310151 (14)
","
44654
","
43
"
